,tweets
0,'Juventus vs Porto\. Barcelona vs Ajax\. Liverpool vs Man U\. Tottenham vs Man City\. \. NairaBetAt10'
1,'Nice
2,'@UNIONBANK_NG Chinedu'
3,"'@TOTALNigeria 27th of June, 1967... If day and month counts \"
4,'@TOTALNigeria 1967'
5,""" @officialEFCC: If you feel like you aren't where you ought to be in life, make sure to keep your hands doing something positive until de"
6,""" @officialEFCC: We're only about 14 years old Rita. Luckily we have age on our side and the strength and zeal to burn off some saccharine"
7,'@myzoto issue not resolved!!'
8,"""@myzoto issue still remain unsolved, it's over 14days now. Im not seeing the mail you claim to have sent to my mailbox. What's happening?"""
9,""" @FunnySayings: 5 rules of a relationship:\. \. 1. stay faithful\. 2. make them feel wanted\. 3. respect your partner\. 4. don't flirt with others"
10,""" @TheFactsBook: 90% of the time it's not the person you miss, it's the feelings and moments you had when you were with them."""
11,""" @Inspire_Us: If it is important to you, you will find a way. If it's not, you'll find an excuse."""
12,"' @TheLoverQuotes: @ChaskaBorek Love the heart that hurts you, but never hurt the heart that loves you. lovequotes quotes'"
13,"' @TheLoverQuotes: @ChaskaBorek Sometimes the things we are most afraid of, are the things that make us happy! lovequotes quotes'"
14,'@myzoto Referred friends but neither I nor them is getting d bonus after successful recharges &amp; IDs upload 4 verification. Its over 96hrs nw'
15,"' @TheLoverQuotes: @ChaskaBorek Some days are meant to be counted, others are meant to be weighed. lovequotes quotes'"
16,' @Inspire_Us: Sometimes the wrong choices bring us to the right places.'
17,' @Quote_Soup: As long as you can laugh at yourself you will never cease to be amused.'
18,' @TheLoverQuotes: @ChaskaBorek People who want things find ways. Others find excuses. Lovequotes quotes'
19,"' @TheFactsBook: If it is important enough to you, you will find a way. If it is not, you will find an excuse.'"
20,""" @Inspire_Us: God's plan is bigger than your mistakes."""
21,' @Funny_Truth: Your pupils can expand by as much as 45% when looking at someone you love.'
22,"' @BestProAdvice: Even when you have doubts, take that step. Take chances. Mistakes are never a failure can be turned into wisdom.\."
23,' @TheLoverQuotes: @ChaskaBorek What is beauty if the brain is empty?? lovequotes quotes'
24,""" @Quote_Soup: When you lose something, don't think of it as a loss; accept it as the gift that gets you on the path you were meant to tra"
25,' @Inspire_Us: Only two ways to live life. One is as though nothing is a miracle. The other is as though everything is a miracle. - Albert
26,"' @thegooglefact: If you tell your friend a secret, expect their boy/girlfriend to know. Even if you tell them not to tell anybody.'"
27,"' @TheLoverQuotes: @ChaskaBorek Having a good boyfriend\. is like having a good bra,\. its all about support! Quotes LoveQuotes'"
28,""" @FunnySayings: and karma said:\. you will fall in love with someone who doesn't love you, for not loving someone who did."""
29,'
30,"' @GoogleFacts: When you zone out, small areas of your brain fall asleep.'"
31,"' @Inspire_Us: Before you can win, you have to believe you are worthy. -Mike Ditka'"
32,'@totalnigeriaplc *2 locate all TOTAL service stations around\. u *2 customize ur search&amp;ur needs with\. a powerful filters system 14FRIDAYS'
33,'-To locate all TOTAL service stations around\. you\. - To customize your search and your needs with\. a powerful filters system 14FRIDAYS'
34,' @TOTALNigeriaplc: MENTION 2 BENEFITS OF TOTAL SERVICES APP\. Download at - Android &amp; - IOS h
35,' @DamnRealPosts: Something about you is so damn addicting.'
36,'Woman dies praying for Chibok girls
37,'You never fail until you stop trying.'
38,"' @manamica: \\""Whether you think you can or you think you can\'t, you\'re right.\\"" - Henry Ford'"
39,""" @TheFactsBook: When writing an essay, remember this: if it's boring to you, it's twice as boring to your reader."""
40,"' @Inspire_Us: The greatest glory in living lies not in never falling, but in rising every time we fall. -Nelson Mandela'"
41,"' @LiISaint: \\""Just kidding\\"" is just an excuse to not get in trouble for something that you really wanted to say all along.'"
42,' @TheFactsBook: 8% human DNA is made up of ancient viruses that used to infect us millions of years ago.'
43,' @LargerThanWords: A warrior does not give up what he loves; he finds the love in what he does.'
44,"' @OMGFacts: Alesund, Norway"
45,""" @Inspire_Us: Smile, even if it's fake. Laugh, even if you hurt. Don't let anyone get to you, you're beautiful regardless of what anyone"
46,'Abstain from sin and ask God anything...'
47,'Test Publication
48,"'Paul PSquare finally comes out to talk about split with his brother, See what he said!"
49,'JUST IN: Of Interest Found In Search For Missing Malaysian Aircraft
50,'PHOTOS: SEE What Nigerian Gays &amp; L\xa3sbians Are Doing In London
51,"'Popular Nigerian BLASTS Omotola Jalade, SEE What Happened + What Omotola Did! (LOOK)"
52,'Beautiful Ladies Show Off B00BS To Raise Money For Cancer (SEE PHOTOS)
53,"""PHOTOS: Eddie Murphy's HOT Daughter Goes Fully Nak\xa3d Again!! (LOOK)"
54,'10 Things All Women Secretly Want In Bed
55,'5 Things A Player Never Says
56,' Important: What Your Blood Pressure Says About You (READ)
57,'Cassava Bread To Generate Over N240 Billion For Farmers Annually Agric Minister Adesina
58,'7 Most Outrageous Breakup Note
59,"""Dear Past, thank you for your lessons. Dear Future, I'm ready. Dear God, thank you for another chance."""
60,"' --- Prostitution, abortions on the increase in Lagos"
61,"'You can never \\""just be friends\\"" with someone you fell in love with.........'"
62,"'Guys, 3 Ways To Be Sure She TRULY Wants You"
63,'SEE The Popular Record Label Skales Signed With After Being Dumped By EME
64,"'Goodnews For Funke Akindele, SEE What Just Happened To Her!! (LOOK)"
65,'@totalnigeriaplc 3. Continuous concern for safety and environmental protection 4.Contributions to the development of host communities'
66,'@totalnigeriaplc 1.Professionalism\. 2.Respect for employees 14daysofawango'
67,""" 14daysofawango day9 is sh*t! How can u say there's no winner on twitter when I obviously got d ans? u guys should do smt@@TOTALNigeriaplc"""
68,"'@TOTALNigeriaplc day9 quiz is full of sh*t!I posted more than 5 possible ans on twitter which I got 3 4rm, yt u claim dt no 1 wins! GodDey'"
69,' @TheFunnySayings: occupation: princess'
70,"' @TheFactsBook: Due to the new discovery of many brain parasites, Scientist say that a Zombie Apocalypse is actually possible.'"
